r,lambda_1,lambda_2,lambda_3
1.97047047047047,-4.85238034222418e-05,-0.0250192002157493,-0.460577101168606
1.97157157157157,-6.30962532821081e-05,-0.0256750468784086,-0.460729735031066
1.97267267267267,-3.22997988161762e-05,-0.0263426988968385,-0.460888196048301
1.97377377377377,-2.81330149274563e-05,-0.0269685252164414,-0.461126643218278
1.97487487487487,-4.32753176263152e-05,-0.0276649669026569,-0.461199163509618
1.97597597597598,-4.4935318155084e-05,-0.0282591119105248,-0.461446452359363
1.97707707707708,-6.2362369573572e-05,-0.0289490620483128,-0.461563326332488
1.97817817817818,-2.96730271139616e-05,-0.0296500488219807,-0.461687214552573
1.97927927927928,-2.78503418810083e-05,-0.0303073694780293,-0.461895082528974
1.98038038038038,-4.04325975281743e-05,-0.0310451388066959,-0.461925692870959
1.98148148148148,-4.48774724540018e-05,-0.0316723842330171,-0.462141129870814
1.98258258258258,-5.84817422201423e-05,-0.032402488471883,-0.462220148139505
1.98368368368368,-2.59764258605961e-05,-0.0331435585106638,-0.462303007608559
1.98478478478478,-2.28075358132124e-05,-0.0338382729682305,-0.462475943218903
1.98588588588589,-3.96381540723767e-05,-0.0346134079690601,-0.462463910196882
1.98698698698699,-4.04412597864738e-05,-0.0352820481050044,-0.462639797834902
1.98808808808809,-5.54791501133553e-05,-0.0360547272853306,-0.462680036849389
1.98918918918919,-2.17252053336279e-05,-0.0368423478595449,-0.462713649110782
1.99029029029029,-1.91980786311436e-05,-0.0375775754825075,-0.462849688829686
1.99139139139139,-3.92459744580967e-05,-0.0384006112743202,-0.462788215914255
1.99249249249249,-4.15119975719801e-05,-0.0391115036856458,-0.46291906163969
1.99359359359359,-5.23075658069279e-05,-0.0399344516702475,-0.462916454348878
1.99469469469469,-2.11858438366385e-05,-0.0407729010758988,-0.462892714675239
1.9957957957958,-1.62636668205433e-05,-0.0415530840454173,-0.462988047812289
1.9968968968969,-4.11412792535908e-05,-0.0424316126706023,-0.462871348589579
1.997997997998,-3.59360672739904e-05,-0.0431977635577233,-0.462945766878977
1.9990990990991,-4.66563905793644e-05,-0.0440698078152548,-0.46289993696274
2.0002002002002,-1.89801471090027e-05,-0.0449695159785612,-0.462808368088589
2.0013013013013,-1.56999883409107e-05,-0.0458006541792574,-0.462856291042505
2.0024024024024,-4.00450007942039e-05,-0.0467352169410855,-0.462682262919164
2.0035035035035,-3.44352196737963e-05,-0.0475669215965899,-0.462688925037076
2.0046046046046,-4.20766350608352e-05,-0.0484991221223179,-0.462593371059993
2.00570570570571,-1.90267566538589e-05,-0.0494722285222189,-0.462421008475
2.00680680680681,-1.34389464538607e-05,-0.0503580316394292,-0.462414918384866
2.00790790790791,-4.16035555836579e-05,-0.0513587089143026,-0.462176652766214
2.00900900900901,-2.82948345654765e-05,-0.0522742880815585,-0.462099217666488
2.01011011011011,-3.40223735902717e-05,-0.0532733850615197,-0.461947913354977
2.01121121121121,-1.92758200944119e-05,-0.0543205453437318,-0.461686227836625
2.01231231231231,-1.3086104360022e-05,-0.0552734309411775,-0.461613258958721
2.01341341341341,-4.65696283284239e-05,-0.0563523946673837,-0.461303661858353
2.01451451451451,-2.32521284204401e-05,-0.0573679408586913,-0.461124911896908
2.01561561561562,-2.65094363632709e-05,-0.0584387362332743,-0.460911002826387
2.01671671671672,-2.04914500103168e-05,-0.059584190117791,-0.460542045569784
2.01781781781782,-1.73956039886885e-05,-0.0606140959105788,-0.460387435589591
2.01891891891892,-4.54960004217877e-05,-0.0617832920943297,-0.459996890606071
2.02002002002002,-1.58010804555061e-05,-0.0629159692051621,-0.459697805308082
2.02112112112112,-1.70532922641865e-05,-0.0640787775402185,-0.459405054972026
